1	21	26
2	17	23
3	43	23
4	49	23
5	36	22
6	71	21
7	72	21
8	15	19
9	52	19
10	63	19
11	26	18
12	51	18
13	67	18
14	4	17
15	59	17
16	64	17
17	8	16
18	20	16
19	50	16
20	81	16
21	31	15
22	65	15
23	70	15
24	79	15
25	5	14
26	33	14
27	40	14
28	57	14
29	61	14
30	7	13
31	18	13
32	23	13
33	27	13
34	42	13
35	66	13
36	6	12
37	9	12
38	22	12
39	28	12
40	44	12
41	56	12
42	82	12
43	3	11
44	11	11
45	14	11
46	25	11
47	54	11
48	77	11
49	83	11
50	2	10
51	12	10
52	29	10
53	38	10
54	39	10
55	45	10
56	47	10
57	48	10
58	53	10
59	69	10
60	13	9
61	16	9
62	41	9
63	46	9
64	68	9
65	73	9
66	78	9
67	10	8
68	30	8
69	34	8
70	55	8
71	58	8
72	80	8
73	32	7
74	60	7
75	74	7
76	75	7
77	76	7
78	1	6
79	19	6
80	24	6
81	35	6
82	37	5
83	62	3
